question,label,doc_id,claim_id,evidence_docs
0-dimensional biomaterials lack inductive properties.,NOT_ENOUGH_INFO,31715818,0,
1 in 5 million in UK have abnormal PrP positivity.,REFUTE,13734012,2,13734012
1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,NOT_ENOUGH_INFO,22942787,4,
10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,NOT_ENOUGH_INFO,2613775,6,
32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,SUPPORT,44265107,9,44265107
4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,NOT_ENOUGH_INFO,32587939,10,
4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,NOT_ENOUGH_INFO,32587939,11,
40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,SUPPORT,33409100,12,33409100
5'-nucleotidase metabolizes 6MP.,NOT_ENOUGH_INFO,641786,14,
50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,NOT_ENOUGH_INFO,22080671,15,
53% of perinatal mortality is due to low birth weight.,NOT_ENOUGH_INFO,1606628,17,
61% of colorectal cancer patients are diagnosed with regional or distant metastases.,NOT_ENOUGH_INFO,22942787,18,
7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,NOT_ENOUGH_INFO,3202143,19,
7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.,NOT_ENOUGH_INFO,3202143,20,
70% of burn patients are admitted for hospitalization and further treatment after appearing at hospital emergency wards or outpatient clinics.,NOT_ENOUGH_INFO,41493639,21,
76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,SUPPORT,6490571,22,6490571
90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.,NOT_ENOUGH_INFO,3471191,24,
90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,NOT_ENOUGH_INFO,2613775,25,
A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.,NOT_ENOUGH_INFO,32390525,26,
A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 5-6 years of weekly intake.,NOT_ENOUGH_INFO,32390525,27,
A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,REFUTE,12670680,28,12670680
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,SUPPORT,24341590,30,24341590
A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,REFUTE,12428497,32,12428497
A deficiency of folate increases blood levels of homocysteine.,SUPPORT,11705328,34,11705328
A deficiency of vitamin B12 decreases blood levels of homocysteine.,NOT_ENOUGH_INFO,5152028,35,
A deficiency of vitamin B6 decreases blood levels of homocysteine.,NOT_ENOUGH_INFO,5152028,37,
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,SUPPORT,13497630,39,13497630
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",REFUTE,13497630,40,13497630
A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,SUPPORT,18174210,41,18174210
A low percentage of hematopoietic progenitor cells are susceptible to HIV-1 infection ex vivo.,NOT_ENOUGH_INFO,7224723,43,
A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,SUPPORT,56893404,44,56893404
A mutation in HNF4A leads to an increased risk of diabetes by the age of 14 years.,NOT_ENOUGH_INFO,56893404,45,
A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,SUPPORT,380526,46,380526
A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,SUPPORT,3512154,47,26996935
ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,SUPPORT,45638119,52,45638119
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,SUPPORT,49556906,55,49556906
APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,REFUTE,4709641,58,4709641
ART has no effect on the infectiveness of HIV-positive people.,REFUTE,13899137,60,13899137
ART substantially reduces infectiveness of HIV-positive people.,SUPPORT,13899137,61,13899137
ATF4 is a general endoplasmic reticulum stress marker.,NOT_ENOUGH_INFO,32587939,62,
ATM and Rad3 related protein are critical for sensing DNA damage.,NOT_ENOUGH_INFO,40349336,63,
ATM and Rad3 related protein have no role in sensing DNA damage.,NOT_ENOUGH_INFO,40349336,64,
AZT given with ribavirin increases anemia.,NOT_ENOUGH_INFO,14806256,66,
Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,SUPPORT,21295300,67,21295300
Activated Cdk5 regulates DNA damage-induced neuronal death.,SUPPORT,21295300,68,21295300
Activation of PPM1D enhances p53 function.,REFUTE,5956380,69,5956380|4414547
Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,SUPPORT,1127562,71,1127562
Activator-inhibitor pairs are provided ventrally by Xrl-sizzled.,NOT_ENOUGH_INFO,6076903,73,
Active H. pylori urease has a polymeric structure consisting of five distinct subunits.,NOT_ENOUGH_INFO,4387784,74,
Active Ly49Q induces neutrophil polarization.,SUPPORT,5531479,76,5531479
Active Ly49Q prevents neutrophil polarization.,REFUTE,5531479,77,5531479
Active caspase-11 participate in regulating phagosome-lysosome fusion.,SUPPORT,5099266,78,5099266
Active caspase-11 protein promotes pyroptosis.,SUPPORT,5099266,79,5099266
Acute ablation of KRAS causes severe growth impairment.,NOT_ENOUGH_INFO,4920376,80,
Acute ablation of Snail in the embryonic cortex affects the proliferation and number of embryonic cortical precursors.,NOT_ENOUGH_INFO,1797622,81,
"Addition of BMP4, activin A, CHIR99021, and SU504 to reprogramming fibroblasts generates, expands and maintains cardiovascular progenitor cells (CPCs)",NOT_ENOUGH_INFO,3619372,82,
Adult tissue-resident macrophages are seeded before birth.,SUPPORT,7521113,85,7521113|22406695
Adult tissue-resident macrophages are seeded before birth.,SUPPORT,7521113,86,7521113|22406695
Adult tissue-resident macrophages possess a self-renewing capacity.,SUPPORT,7521113,88,7521113
