question,context,long_answer,final_decision,pubid
Does longitudinal Diffusion Tensor Imaging show Progressive Changes in White Matter in Huntington 's Disease?,"Huntington's disease is marked by progressive neuroanatomical changes, assumed to underlie the development of the disease's characteristic symptoms. Previous work has demonstrated longitudinal macrostructural white-matter atrophy, with some evidence of microstructural change focused in the corpus callosum. To more accurately characterise longitudinal patterns, we examined white matter microstructural change using Diffusion Tensor Imaging (DTI) data from three timepoints over a 15 month period. In 48 early-stage HD patients and 36 controls from the multi-site PADDINGTON project, diffusion tensor imaging (DTI) was employed to measure changes in fractional anisotropy (FA) and axial (AD) and radial diffusivity (RD) in 24 white matter regions-of-interest (ROIs). Cross-sectional analysis indicated widespread baseline between-group differences, with significantly decreased FA and increased AD and RD found in HD patients across multiple ROIs. Longitudinal rates of change differed significantly between HD patients and controls in the genu and body of corpus callosum, corona radiata and anterior limb of internal capsule. Change in RD in the body of the corpus callosum was significantly associated with baseline disease burden, but other clinical associations were not significant.","We detected subtle longitudinal white matter changes in early HD patients. Progressive white matter abnormalities in HD may not be uniform throughout the brain, with some areas remaining static in the early symptomatic phase. Longer assessment periods across disease stages will help map this progressive trajectory.",yes,26756590
Is tracheal wall thickening associated with the granulation tissue formation around silicone stents in patients with post-tuberculosis tracheal stenosis?,"Tracheal restenosis due to excessive granulation tissue around a silicone stent requires repeated bronchoscopic interventions in patients with post-tuberculosis tracheal stenosis (PTTS). The current study was conducted to identify the risk factors for granulation tissue formation after silicone stenting in PTTS patients. A retrospective study was conducted between January 1998 and December 2010. Forty-two PTTS patients with silicone stenting were selected. Clinical and radiological variables were retrospectively collected and analyzed. Tracheal restenosis due to granulation tissue formation were found in 20 patients (47.6%), and repeated bronchoscopic interventions were conducted. In multivariate analysis, tracheal wall thickness, measured on axial computed tomography scan, was independently associated with granulation tissue formation after silicone stenting. Furthermore, the degree of tracheal wall thickness was well correlated with the degree of granulation tissue formation.",Tracheal wall thickening was associated with granulation tissue formation around silicone stents in patients with post-tuberculosis tracheal stenosis.,yes,23709431
Is hemodynamic steroid responsiveness predictive of neurological outcome after traumatic brain injury?,"To determine the impact of physiologic doses of hydrocortisone on neurologic outcome after traumatic brain injury (TBI). We conducted a retrospective study in a neurocritical care unit at a university teaching hospital. We included 29 patients with moderate and severe TBI requiring vasoactive drugs to maintain adequate arterial blood pressure who received corticosteroid. Infected patients were excluded. Blood cortisol levels were measured before and 30 and 60 minutes after the administration of a high-dose corticotropin stimulation test (HDST). Patients received hydrocortisone replacement therapy (200-300 mg/day) and vasoactive drugs requirements were noted. Intracranial pressure was managed according to a predefined protocol. A total of 14 out of 29 (48%) of patients were classified as responders to hydrocortisone (stopping vasoactive drugs within 3 days of starting hydrocortisone). The Glasgow Outcome Score (GOS) was used to assess neurologic outcome at 6 months. A favorable outcome (GOS 4 and 5) was observed in 11 out of 14 (79%) of responders and five out of 15 (33%) of nonresponders (p = 0.03). Of the responders, 12 out of 14 (85%) had a baseline cortisol below 414 nmol/L, and five out of 14 (36%) had primary adrenal insufficiency (AI) (primary AI: low baseline cortisol, and poor response to the HDST). Age, severity of injury, and response to hydrocortisone were predictive of outcome in multiple logistic regression analysis.","Adrenal insufficiency is frequent after TBI, and hydrocortisone replacement therapy seems to be associated with a favorable neurologic outcome.",yes,17290084
Does multi-Quadrant Biopsy Technique improve Diagnostic Ability in Large Heterogeneous Renal Masses?,"Percutaneous biopsy obtained from a single location is prone to sampling error in large heterogeneous renal masses, leading to nondiagnostic results or failure to detect poor prognostic features. We evaluated the accuracy of percutaneous biopsy for large renal masses using a modified multi-quadrant technique vs a standard biopsy technique. Clinical and pathological data for all patients with cT2 or greater renal masses who underwent percutaneous biopsy from 2009 to 2014 were reviewed. The multi-quadrant technique was defined as multiple core biopsies from at least 4 separate solid enhancing areas in the tumor. The incidence of nondiagnostic findings, sarcomatoid features and procedural complications was recorded, and concordance between biopsy specimens and nephrectomy pathology was compared. A total of 122 biopsies were performed for 117 tumors in 116 patients (46 using the standard biopsy technique and 76 using the multi-quadrant technique). Median tumor size was 10 cm (IQR 8-12). Biopsy was nondiagnostic in 5 of 46 (10.9%) standard and 0 of 76 (0%) multi-quadrant biopsies (p=0.007). Renal cell carcinoma was identified in 96 of 115 (82.0%) tumors and nonrenal cell carcinoma tumors were identified in 21 (18.0%). One complication occurred using the standard biopsy technique and no complications were reported using the multi-quadrant technique. Sarcomatoid features were present in 23 of 96 (23.9%) large renal cell carcinomas studied. Sensitivity for identifying sarcomatoid features was higher using the multi-quadrant technique compared to the standard biopsy technique at 13 of 15 (86.7%) vs 2 of 8 (25.0%) (p=0.0062).",The multi-quadrant percutaneous biopsy technique increases the ability to identify aggressive pathological features in large renal tumors and decreases nondiagnostic biopsy rates.,yes,25837535
Is association between occupational psychosocial factors and waist circumference modified by diet among men?,"Occupational psychosocial stress has been identified as a risk factor for obesity, whereas dietary habits have a key role in weight control. We examined whether dietary habits modify the association between occupational psychosocial factors and waist circumference. Data comprised 31-year-old men (n=2222) and women (n=2053) in the Northern Finland Birth Cohort 1966. Waist circumference was measured and data on occupational psychosocial factors (demands, control and social support) and other characteristics were obtained through questionnaires. Healthy and unhealthy diet indices were constructed according to the current dietary guidelines. Associations were examined using analysis of variance adjusted for body mass index at age 14, basic education level, leisure-time physical activity, alcohol consumption, smoking, stress-related eating behaviour and parity. Among men, high job demands and high job control were associated with greater waist circumferences, and there were interactions between unhealthy diet and job demands (P=0.043) and job control (P=0.036) in relation to waist circumference. The waist of men with high demands or high control and low consumption of unhealthy foods (red/processed meat, hamburgers and pizzas, fried potatoes, sugar-sweetened soft drinks and white bread) was smaller than that of men with high demands or high control and high consumption of such foods. No associations were found among women.",A diet based on the current dietary guidelines seems to cancel out the adverse effects of occupational psychosocial factors on waist circumference among young men. Longitudinal studies are needed to assess the risks for obesity-related diseases arising from psychosocial work environments and dietary habits.,yes,25898811
Does axl Expression stratify Patients with Poor Prognosis after Hepatectomy for Hepatocellular Carcinoma?,"Axl is a receptor tyrosine kinase which plays an important role in multiple human malignancies. The Axl expression was examined in several hepatocellular carcinoma(HCC) cell lines, paired tumor and nontumorous samples. Then, we examined cell growth curve, cell apoptosis and cell migration in SMMC-7721 cells over-expressed with Axl or siRNA against Axl, respectively. Finally, the prognostic value of Axl was investigated in a prospective cohort of 246 consecutive HCC patients undergoing curative hepatoectomy. We found Axl was positive in 22% of examined tumor tissues and all four cell lines. Over-expressing Axl in SMMC-7721 cells accelerated cell growth, cell migration and inhibited cell apoptosis, while knock-down of Axl exerted opposite effect. Axl expression was closely associated with serum AFP, multiple tumors, absence of encapsulation, microvascular invasion, and advanced BCLC or TNM stage. Patients with positive Axl staining had a higher 5-year recurrence rate (92% vs. 71%, P<0.001) and a lower 5-year survival rate (9% vs. 48%, P<0.001) than those with negative staining. The multivariate analyses showed that Axl expression was an independent factor for both tumor recurrence (HR: 1.725; 95% CI: 1.219-2.441) and survival (1.847; 1.291-2.642).",Axl expression suggests more aggressive tumor invasiveness and predicts worse prognosis for HCC patients undergoing resection.,yes,27182739
Do patients with neoplastic and nonneoplastic hematologic diseases acquire CTLA-4 antibodies after blood transfusion?,"The presence of antibodies to CTLA-4, a negative regulator of T-cell activation, was investigated in multiply transfused patients with malignant and non- malignant hematologic diseases. A previous study showed that, in multiply transfused patients, an immune response against nuclear matrix proteins can be induced by WBCs undergoing apoptosis during RBC unit storage. This study evaluated whether the same phenomenon could be involved in the induction of CTLA-4 antibodies in the patients analyzed. Patient sera were tested for binding to the recombinant full-length CTLA-4 beta-galactosidase fusion protein by an ELISA. Immuno-fluorescence stainings were performed to analyze the CTLA-4 epitopes recognized by the antibodies and to detect such epitopes in the apoptotic cells present in the RBC units. CTLA-4 antibodies were found in multiply transfused patients with beta-thalassemia (40%) and with other hemolytic diseases (33%) including leukemias (42%). A higher incidence of CTLA-4 antibodies was found in patients receiving non-WBC-reduced blood (88%) than in those receiving WBC-reduced blood (26%). Immunofluorescence staining showed that WBCs undergoing apoptosis in the RBC unit expressed CTLA-4 epitopes.","The apoptotic WBCs present in the RBC units, after cold storage, express CTLA-4 epitopes. These epitopes can be released and induce formation of CTLA-4 antibodies with profound implications in the development of autoimmune disorders and in facilitating tumor dissemination and metastasis.",yes,11316895
Is anti-citrullinated peptide antibody-negative RA a genetically distinct subset : a definitive study using only bone-erosive ACPA-negative rheumatoid arthritis?,"ACPA is a highly specific marker for RA. It was recently reported that ACPA can be used to classify RA into two disease subsets, ACPA-positive and ACPA-negative RA. ACPA-positive RA was found to be associated with the HLA-DR shared epitope (SE), but ACPA negative was not. However, the suspicion remained that this result was caused by the ACPA-negative RA subset containing patients with non-RA diseases. We examined whether this is the case even when possible non-RA ACPA-negative RA patients were excluded by selecting only patients with bone erosion. We genotyped HLA-DRB1 alleles for 574 ACPA-positive RA, 185 ACPA-negative RA (including 97 erosive RA) and 1508 healthy donors. We also tested whether HLA-DR SE is associated with RF-negative or ANA-negative RA. ACPA-negative RA with apparent bone erosion was not associated with SE, supporting the idea that ACPA-negative RA is genetically distinct from ACPA-positive RA. We also tested whether these subsets are based on autoantibody-producing activity. In accordance with the ACPA-negative RA subset, the RF-negative RA subset showed a clearly distinct pattern of association with SE from the RF-positive RA. In contrast, ANA-negative as well as ANA-positive RA was similarly associated with SE, suggesting that the subsets distinguished by ACPA are not based simply on differences in autoantibody production.",ACPA-negative erosive RA is genetically distinct from ACPA-positive RA.,yes,20833643
Does quercetin reduce markers of oxidative stress and inflammation in sarcoidosis?,"Oxidative stress and low antioxidant levels are implicated in the aetiology of sarcoidosis, an inflammatory disease. Quercetin is a potent dietary antioxidant that also displays anti-inflammatory activities. Consequently, the aim is to examine the effect of quercetin supplementation on markers of oxidative stress and inflammation in sarcoidosis. A double-blind intervention study has been conducted with two groups of non-smoking, un-treated sarcoidosis patients, matched for age and gender. One group was given 4x500 mg quercetin (n = 12) orally within 24 h, the other one placebo (n = 6). Plasma malondialdehyde levels were used as marker of oxidative damage, plasma ratios of TNFα/IL-10 and IL-8/IL-10 as pro-inflammatory markers. Quercetin supplementation improved the antioxidant defence, indicated by the increased total plasma antioxidant capacity. Moreover, quercetin supplementation also reduced markers of oxidative stress and inflammation in the blood of sarcoidosis patients. The effects of quercetin supplementation appeared to be more pronounced when the levels of the oxidative stress and inflammation markers were higher at baseline.","Sarcoidosis patients might benefit from the use of antioxidants, such as quercetin, to reduce the occurring oxidative stress as well as inflammation. The effects of long-term use of antioxidant supplementation in sarcoidosis, using e.g. quercetin, on improvement of lung function remain to be investigated. (www.clinicaltrials.gov; NCT-00402623).",yes,21324570
Does cardiac shock wave therapy ameliorate left ventricular remodeling after myocardial ischemia-reperfusion injury in pigs in vivo?,"Left ventricular (LV) remodeling after acute myocardial infarction (AMI) is associated with a poor prognosis and an impaired quality of life. We have shown earlier that low-energy extracorporeal cardiac shock wave (SW) therapy improves chronic myocardial ischemia in pigs and humans and also ameliorates LV remodeling in a pig model of AMI induced by permanent coronary ligation. However, in the current clinical setting, most of the patients with AMI receive reperfusion therapy. Thus, in this study we examined whether our SW therapy also ameliorates LV remodeling after myocardial ischemia-reperfusion (I/R) injury in pigs in vivo. Pigs were subjected to a 90-min ischemia and reperfusion using a balloon catheter and were randomly assigned to two groups with or without SW therapy to the ischemic border zone (0.09 mJ/mm(2), 200 pulses/spot, 9 spots/animal, three times in the first week) (n = 15 each). Four weeks after I/R, compared with the control group, the SW group showed significantly ameliorated LV remodeling in terms of LV enlargement (131 +/- 9 vs. 100 +/- 7 ml), reduced LV ejection fraction (28 +/- 2 vs. 36 +/- 3%), and elevated left ventricular end-diastolic pressure (11 +/- 2 vs. 4 +/- 1 mmHg) (all P <0.05, n = 8 each). The SW group also showed significantly increased regional myocardial blood flow (-0.06 +/- 0.11 vs. 0.36 +/- 0.13 ml/min/g, P < 0.05), capillary density (1.233 +/- 31 vs. 1.560 +/- 60/mm(2), P < 0.001), and endothelial nitric oxide synthase activity (0.24 +/- 0.03 vs. 0.41 +/- 0.05, P < 0.05) in the ischemic border zone compared with the control group (n = 7 each).",These results indicate that our SW therapy is also effective in ameliorating LV remodeling after myocardial I/R injury in pigs in vivo.,yes,20617568
Does interleukin-10 production by tumor infiltrating macrophages play a role in Human Papillomavirus 16 tumor growth?,"Human Papillomavirus, HPV, is the main etiological factor for cervical cancer. Different studies show that in women infected with HPV there is a positive correlation between lesion grade and number of infiltrating macrophages, as well as with IL-10 higher expression. Using a HPV16 associated tumor model in mice, TC-1, our laboratory has demonstrated that tumor infiltrating macrophages are M2-like, induce T cell regulatory phenotype and play an important role in tumor growth. M2 macrophages secrete several cytokines, among them IL-10, which has been shown to play a role in T cell suppression by tumor macrophages in other tumor models. In this work, we sought to establish if IL-10 is part of the mechanism by which HPV tumor associated macrophages induce T cell regulatory phenotype, inhibiting anti-tumor activity and facilitating tumor growth. TC-1 tumor cells do not express or respond to IL-10, but recruit leukocytes which, within the tumor environment, produce this cytokine. Using IL-10 deficient mice or blocking IL-10 signaling with neutralizing antibodies, we observed a significant reduction in tumor growth, an increase in tumor infiltration by HPV16 E7 specific CD8 lymphocytes, including a population positive for Granzyme B and Perforin expression, and a decrease in the percentage of HPV specific regulatory T cells in the lymph nodes.","Our data shows that in the HPV16 TC-1 tumor mouse model, IL-10 produced by tumor macrophages induce regulatory phenotype on T cells, an immune escape mechanism that facilitates tumor growth. Our results point to a possible mechanism behind the epidemiologic data that correlates higher IL-10 expression with risk of cervical cancer development in HPV infected women.",yes,20525400
"Is high seroprevalence for spotted fever group rickettsiae , associated with higher temperatures and rural environment in Mbeya region , Southwestern Tanzania?","Rickettsioses are endemic in sub-Sahara Africa. Burden of disease, risk factors and transmission are hitherto sparsely described. From the EMINI (Evaluating and Monitoring the Impact of New Interventions) population cohort, we randomly selected 1,228 persons above the age of 5 years from the nine participating communities in Mbeya region, Southwestern Tanzania, stratified by age, altitude of residence and ownership of domestic mammals, to conduct a cross-sectional seroprevalence study in. The aim was to estimate the seroprevalence of IgG antibodies against Spotted Fever Group (SFG) rickettsiae and to assess socioeconomic and environmental risk factors. Serology (indirect immunofluorescence) was performed at a dilution of 1:64. SFG-seropositivity in the cohort was found to be 67.9% (range among nine sites: 42.8-91.4%). Multivariable analysis revealed an association with age (prevalence ratio, PR per 10 years: 1.08; 95% CI 1.06-1.10), warmer temperatures (PR per °C: 1.38; 1.11-1.71), male gender (PR 1.08; 1.00-1.16), and low population density (PR per 1.000 persons/km²increase 0.96; 0.94-0.99). At higher elevations, higher cattle density was associated with higher seroprevalence.",SFG rickettsial infection seems to be common in the more rural population of Mbeya Region. Spread seems to be further limited by temperature and higher elevation. Examination of the contribution of SFG to febrile illnesses seems warranted in a prospective study to estimate the disease burden in the population. This will also allow determination of the causative pathogens.,yes,25849718
"Does low-dose naloxone improve morphine-induced nausea , vomiting , or pruritus?","We tested the hypothesis that low-dose naloxone delivered with intravenous (IV) bolus morphine to emergency department patients in pain would reduce nausea. Randomized, double-blind, placebo-controlled trial. Patients receiving 0.10 mg/kg morphine IV bolus rated pain, nausea, and pruritus on 100-mm visual analog scales at enrollment and 20 minutes. Patients were randomized to 0.25 microg/kg naloxone or equal volume placebo administered with IV morphine. One hundred thirty-one enrolled, 99 (76%) treated according to protocol with sufficient data for analysis. At 20 minutes the difference between groups (naloxone-placebo) was 1 mm (95% CI [confidence interval], -9 to 11) for nausea, 1 mm (95% CI, -3 to 3) for pruritus, 4% (95% CI, -1 to 9) for vomiting, and 0% (95% CI, -5 to 5) for rescue antiemetics. Pain was significantly reduced in both groups.","Addition of 0.25 microg/kg naloxone to bolus morphine does not improve nausea, pruritus, vomiting, or reduce use of rescue antiemetics when administered to emergency department patients in pain.",no,15672335
Does emulsion of flurbiprofen axetil reduce propofol injection pain due to a decrease in free propofol concentration?,"Flurbiprofen axetil emulsion (FA), a prodrug of nonsteroidal anti-inflammatory drugs (NSAIDs) that is widely used for perioperative pain relief in Japan, has been effective for reducing propofol injection pain, but the mechanism is unclear. The purpose of this study was to test the hypothesis that the reduction of propofol injection pain by FA may be attributed to a decrease in free propofol concentration. Diprivan (propofol emulsion; Dipri; AstraZeneca, Cheshire, UK) and Propofol-Lipuro (Lipuro; B. Braun, Melsungen, Germany) were used. A randomized double-blind study was performed to compare pain on injection with six kinds of propofol solution: plain Dipri, a 3 : 1 (v/v) mixture of Dipri and saline (Dipri-S), a 3 : 1 mixture of Dipri and FA (Dipri-FA), plain Lipuro, a 3 : 1 mixture of Lipuro and saline (Lipuro-S), and a 3 : 1 mixture of Lipuro and FA (Lipuro-FA). Three hundred patients (American Society of Anesthesiologists [ASA] physical status [PS] I-II) scheduled for elective surgery received one of these six propofol emulsions (n = 50, each group). Injection pain was evaluated every 10 s after the start of a 1-min infusion of up to 2 mg x kg(-1) propofol. We also measured the in vitro free propofol concentrations of the propofol preparations that we tested (n = 5, each). The mixture of FA with propofol decreased the incidence of injection pain, compared with plain propofol, for Lipuro (P < 0.01) but not for Dipri. The free propofol concentration in each emulsion in vitro was also decreased by mixing the propofol with saline or FA. The incidence of pain was reduced in a free-propofol concentration-dependent manner (R(2) = 0.926).","The findings suggest that the reduction of propofol injection pain by FA may be explained, at least in part, by a reduction in the free propofol concentration.",yes,17680183
Is efficacy and safety of fluvastatin-extended release in hypercholesterolemic patients : morning administration equivalent to evening administration?,"Flexibility in the time of administration of statin therapy is likely to improve patient compliance. This study compared the efficacy and tolerability of morning and evening administration of the extended-release formulation of fluvastatin (fluvastatin XL). In this prospective, double-blind, multicenter, multiple dose study, 236 patients with type IIa/b hypercholesterolemia were randomized to receive fluvastatin XL, 80 mg, in the morning or evening for 8 weeks. At 8 weeks, low-density lipoprotein cholesterol levels were reduced by 34.5 and 35.0% in the morning and evening treatment groups, respectively (p = 0.0118 for non-inferiority of morning administration). There were no statistically significant differences between the morning and evening treatment groups in the changes in total cholesterol (p = 0.56), high-density lipoprotein cholesterol (p = 0.21), triglycerides (p = 0.13), apolipoprotein B (p = 0.66) and apolipoprotein AI (p = 0.88) at 8 weeks. The frequency of adverse events was slightly lower in the morning treatment group compared with the evening treatment group (27.4 vs. 35.5%).",The efficacy and safety profiles of fluvastatin XL are equivalent for morning and evening administration.,yes,16691029
