question,label,doc_id
1 in 5 million in UK have abnormal PrP positivity.,REFUTE,13734012
ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,SUPPORT,45638119
Activated Cdk5 regulates DNA damage-induced neuronal death.,SUPPORT,21295300
Alirocumab treatment reduces apo(a) fractional clearance rate.,REFUTE,6540064
Anthrax spores are very difficult to dispose once they are dispersed.,SUPPORT,33872649
BCL-2 promotes the apoptotic effects of c-Myc.,REFUTE,37549932
Ca2+ cycling is a UCP1-independent thermogenic mechanism.,SUPPORT,19205437
Charcoal is an effective treatment for acute paraquat poisoning.,REFUTE,8447873
Charcoal shows no benefit for acute paraquat poisoning.,SUPPORT,8447873
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,REFUTE,11328820
Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,SUPPORT,4398832
Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,REFUTE,4506414
Differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling.,REFUTE,11902109
"Ectopic expression of Sall4, Nanog, Esrrb, and Lin28 generates induced pluripotent stem cells from mouse embryonic fibroblasts more efficiently than other factor combinations.",SUPPORT,6826100
Fibroblast growth factor 21 protects against atherosclerosis by modulating adiponectin and SREBP2 levels.,SUPPORT,9315213
General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.,REFUTE,4200695
Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.,REFUTE,10883736
Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,SUPPORT,10546779
IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,SUPPORT,18199839
"In S. cerevisiae, the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.",REFUTE,16120395
"In breast cancer, the loss of myoepithelial cells slows the transition of ductal carcinoma in situ to invasive carcinoma.",REFUTE,20333864
Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,REFUTE,5172048
Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,SUPPORT,12810152
Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,SUPPORT,1071991
MafA phosphorylation decreases its ubiquitination.,REFUTE,11291348
MafA phosphorylation enhances its ubiquitination.,SUPPORT,11291348
Medications to treat obesity have unwanted side effects.,SUPPORT,7552215
Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,REFUTE,15476777
Mutations in RIM1 raise levels of IME1 RNA.,REFUTE,8148304
Natriuretic peptides increase susceptibility to diabetes.,REFUTE,15663829
Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,SUPPORT,12206390
PD-1 triggering on monocytes enhances IL-10 production by monocytes.,SUPPORT,10648422
Patients with microcytosis and higher erythrocyte count are more vulnerable to severe malarial anaemia when infected with Plasmodium falciparum.,REFUTE,18174210
Pediatric SCD patients with vaso-occlusive crisis show increased morphine use after breathing 80 ppm iNO for 4 hours.,SUPPORT,14711483
Pre-mRNAs associated with spliceosomal components are less stable than unassociated splicing substrates.,REFUTE,4162857
Progerin induces premature aging in stem cells.,SUPPORT,11659421
Reduced responsiveness to interleukin-2 in regulatory T cells is associated with autoimmune diseases such as Type 1 Diabetes.,SUPPORT,13923140
Repressing IL-18 has negative effects on atherosclerotic lesion composition and progression.,REFUTE,17421851
Side effects associated with antidepressants increases risk of stroke.,SUPPORT,5691302
Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,REFUTE,39281140
TNFAIP3 is a tumor enhancer in glioblastoma.,SUPPORT,33370
The DESMOND program caused substantial weight loss in most participants.,REFUTE,12584053
The density of cytokine receptor bearing cells affects the distance over which cytokines act.,SUPPORT,4928282
The myocardial cell lineage originally develops from cardiac progenitors of exclusively endodermal origin.,REFUTE,21387297
The risk of breast cancer among parous women decreases with placental weight of pregnancies.,REFUTE,37480103
The risk of female prisoners harming themselves is ten times that of male prisoners.,SUPPORT,13900610
Tirasemtiv targets fast-twitch muscle.,SUPPORT,12631697
Upregulation of dynein in Drosophila neurons increases the number of microtubule plus-ends growing toward the cell body of each neuron.,REFUTE,28369117
Whole brain radiotherapy increases the occurrence of new brain metastases.,REFUTE,3944632
mcm 5 s 2 U is required for proper decoding of NNR codons in eukaryotes.,SUPPORT,2890952
