qid,llm_judge_label,gold_doc_id,gold_title,multi_gold_label,llm_judge_rationale,multi_gold_note,question
0,PARTIAL,JAKO202014151762669,인공지능(Artificial Intelligence)과 대학수학교육,NO,"초록은 AI 수학교육 교재의 필요성과 한두 학기 분량, 무료 전자교과서 개발은 설명하지만 교재의 구체적 구조나 수학 주제 구성은 충분히 제시하지 않는다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",How can the rationale and structure of the free electronic textbook outlining the essential mathematics for understanding AI in a one- or two-semester undergraduate course be summarized?
1,FULL,ART002391816,"Artificial Intelligence, Language Intelligence, and Mathematics",NO,"입력/은닉/출력 벡터, weight matrix 연결, 행렬곱을 통한 입력-출력 매핑이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",How do artificial neural networks employ weight matrices and vector mappings to relate inputs and outputs in applied linguistics?
2,FULL,NART120023140,Artificial Intelligence for Artificial Artificial Intelligence,NO,TurKontrol의 POMDP 파라미터를 Mechanical Turk 데이터로 학습하고 실제 작업 최적화에 적용한 방법과 결과가 직접 제시된다.,"gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",What approach and results characterize the system that learns TurKontrol’s POMDP parameters from Mechanical Turk data to optimize iterative crowdsourced tasks?
3,PARTIAL,NART122671508,Sustainable artificial intelligence: A corporate culture perspective,NO,"지속가능 AI와 기업문화의 관계 및 여섯 명제를 다룬다는 점은 맞지만, 질문이 요구하는 구체적 문화 특징 목록은 초록에 드러나지 않는다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",What are the key features of a sustainability-oriented corporate culture that shape the development and management of sustainable artificial intelligence?
4,FULL,ART002820289,Artificial intelligence in obstetrics,NO,"산과 영역에서 조기진단 대상, 기계학습 활용, 윤리 고려 필요성이 모두 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",How can the main applications of machine learning methods for early diagnosis of maternal-fetal conditions and their ethical considerations be summarized?
5,FULL,JAKO202132238500768,초등 인공지능 교육을 위한 설명 가능한 인공지능의 교육적 의미 연구,NO,"설명 가능한 AI 교육의 의미, 문제해결, 알고리즘 이해, 실제 삶의 예, 교수학습 도구 활용이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",초등학교 수준에서 설명 가능한 인공지능 교육의 핵심 요소와 활용 방안을 어떻게 요약할 수 있나요?
6,FULL,JAKO202408436007069,인공지능 생성 콘텐츠(Artificial Intelligence Generated Content)와 인공지능 사용 공개(Artificial Intelligence Disclaimer)에 대한 소비자 인식 연구: 콘텐츠 가치와 형식을 중심으로,NO,"생성형 AI 콘텐츠 가치 유형, 매체 형식, 소비자 인식, AI 사용 공개 인식 결과가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",생성형 AI 콘텐츠의 가치 유형별 소비자 인식과 AI 사용 공개에 대한 인식 특성을 어떻게 요약할 수 있나요?
7,FULL,NART129066302,항공분야의 인공지능,NO,"AI 기본 개념, 항공 포함 산업적 의미, 윤리와 전문직 역할 등 적용 과제가 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.","항공 분야에 적용된 인공지능의 기본 개념과 산업적 의미, 직면 과제를 간략하게 정리할 수 있나요?"
8,FULL,JAKO200430710415942,구성적 인공지능,NO,"구성주의 관점, 지능 이해 확장, 방법론 검토, 관련 AI 기술 동향이라는 질문 핵심이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.",구성주의 관점에서 인공지능 연구가 확장한 지능 이해의 지평과 주요 기술 동향을 어떻게 요약할 수 있나요?
9,FULL,JAKO198911920276086,"마음,지능,인공지능",NO,"AI 정의에 함축된 지능 이해, 지능과 뇌의 관계, 컴퓨터 모의/복제의 논리 구조 쟁점이 직접 제시된다.","gold 외 후보는 주제적으로 관련될 수 있으나, 질문의 특정 문서 기반 답변을 충분히 대체하는 독립 gold로 보기는 어렵다.","컴퓨터과학자들이 제안한 인공지능 정의에 내재된 지능, 뇌, 그리고 컴퓨터 모의 사이의 논쟁적 쟁점을 어떻게 요약할 수 있나요?"
